year,population,birth_rate,death_rate,net_growth,births,deaths,events
0,1000000.0,50.0,40.0,10.000000000000002,50000.0,40000.0,
1,1010000.0,50.0,40.0,10.000000000000002,50500.0,40400.0,
2,1020100.0,50.0,40.0,10.000000000000002,51005.0,40804.0,
3,1030301.0,50.0,40.0,10.000000000000002,51515.05,41212.04,
4,1040604.01,50.0,40.0,10.000000000000002,52030.200500000006,41624.1604,
5,1051010.0501,50.0,40.0,10.000000000000002,52550.50250500001,42040.402004,
6,1061520.150601,50.0,40.0,10.000000000000002,53076.00753005,42460.80602404,
7,1072135.3521070099,50.0,40.0,10.000000000000002,53606.7676053505,42885.4140842804,
8,1082856.70562808,50.0,40.0,10.000000000000002,54142.835281404004,43314.2682251232,
9,1093685.2726843609,50.0,40.0,10.000000000000002,54684.26363421805,43747.41090737443,
10,1104622.1254112045,50.0,40.0,10.000000000000002,55231.10627056023,44184.885016448185,
11,1115668.3466653167,50.0,40.0,10.000000000000002,55783.41733326584,44626.73386661267,
12,1126825.0301319698,50.0,40.0,10.000000000000002,56341.25150659849,45073.00120527879,
13,1138093.2804332895,50.0,40.0,10.000000000000002,56904.664021664474,45523.73121733158,
14,1149474.2132376225,50.0,40.0,10.000000000000002,57473.71066188113,45978.9685295049,
15,1160968.9553699987,50.0,40.0,10.000000000000002,58048.44776849994,46438.75821479995,
16,1172578.6449236986,50.0,40.0,10.000000000000002,58628.93224618494,46903.145796947945,
17,1184304.4313729357,50.0,40.0,10.000000000000002,59215.22156864678,47372.17725491743,
18,1196147.4756866652,50.0,40.0,10.000000000000002,59807.373784333264,47845.89902746661,
19,1208108.9504435319,50.0,40.0,10.000000000000002,60405.4475221766,48324.35801774127,
20,1220190.0399479673,50.0,40.0,10.000000000000002,61009.501997398365,48807.60159791869,
21,1232391.940347447,50.0,40.0,10.000000000000002,61619.597017372354,49295.67761389788,
22,1244715.8597509214,50.0,40.0,10.000000000000002,62235.79298754607,49788.63439003686,
23,1257163.0183484305,50.0,40.0,10.000000000000002,62858.15091742153,50286.52073393722,
24,1269734.648531915,50.0,40.0,10.000000000000002,63486.73242659575,50789.385941276596,
25,1282431.995017234,50.0,40.0,10.000000000000002,64121.5997508617,51297.279800689364,
26,1295256.3149674064,50.0,40.0,10.000000000000002,64762.815748370325,51810.25259869626,
27,1308208.8781170805,50.0,40.0,10.000000000000002,65410.44390585403,52328.35512468322,
28,1321290.9668982516,50.0,40.0,10.000000000000002,66064.54834491257,52851.638675930066,
29,1334503.876567234,50.0,40.0,10.000000000000002,66725.1938283617,53380.155062689366,
30,1347848.9153329064,50.0,40.0,10.000000000000002,67392.44576664532,53913.95661331626,
31,1361327.4044862355,50.0,40.0,10.000000000000002,68066.37022431177,54453.09617944942,
32,1374940.6785310977,50.0,40.0,10.000000000000002,68747.03392655488,54997.62714124391,
33,1388690.0853164087,50.0,40.0,10.000000000000002,69434.50426582043,55547.603412656346,
34,1402576.9861695727,50.0,40.0,10.000000000000002,70128.84930847863,56103.07944678291,
35,1416602.7560312685,50.0,40.0,10.000000000000002,70830.13780156343,56664.11024125074,
36,1430768.783591581,50.0,40.0,10.000000000000002,71538.43917957906,57230.75134366324,
37,1445076.4714274968,50.0,40.0,10.000000000000002,72253.82357137484,57803.05885709987,
38,1459527.2361417718,50.0,40.0,10.000000000000002,72976.36180708859,58381.08944567087,
39,1474122.5085031895,50.0,40.0,10.000000000000002,73706.12542515948,58964.900340127584,
40,1488863.7335882215,50.0,40.0,10.000000000000002,74443.18667941108,59554.54934352886,
41,1503752.3709241035,50.0,40.0,10.000000000000002,75187.61854620518,60150.09483696414,
42,1518789.8946333446,50.0,40.0,10.000000000000002,75939.49473166723,60751.59578533378,
43,1533977.793579678,50.0,40.0,10.000000000000002,76698.8896789839,61359.111743187124,
44,1549317.571515475,50.0,40.0,10.000000000000002,77465.87857577375,61972.702860619,
45,1564810.7472306297,50.0,40.0,10.000000000000002,78240.53736153149,62592.42988922519,
46,1580458.854702936,50.0,40.0,10.000000000000002,79022.9427351468,63218.35418811744,
47,1596263.4432499653,50.0,40.0,10.000000000000002,79813.17216249827,63850.537729998614,
48,1612226.077682465,50.0,40.0,10.000000000000002,80611.30388412326,64489.0431072986,
49,1628348.3384592896,50.0,40.0,10.000000000000002,81417.41692296449,65133.93353837159,
50,1644631.8218438823,50.0,40.0,10.000000000000002,82231.59109219412,65785.2728737553,
51,1661078.1400623212,50.0,40.0,10.000000000000002,83053.90700311607,66443.12560249284,
52,1677688.9214629445,50.0,40.0,10.000000000000002,83884.44607314724,67107.55685851778,
53,1694465.810677574,50.0,40.0,10.000000000000002,84723.29053387871,67778.63242710296,
54,1711410.4687843497,50.0,40.0,10.000000000000002,85570.52343921749,68456.41875137399,
55,1728524.5734721934,50.0,40.0,10.000000000000002,86426.22867360967,69140.98293888774,
56,1745809.8192069153,50.0,40.0,10.000000000000002,87290.49096034578,69832.39276827661,
57,1763267.9173989845,50.0,40.0,10.000000000000002,88163.39586994924,70530.71669595939,
58,1780900.5965729742,50.0,40.0,10.000000000000002,89045.02982864872,71236.02386291897,
59,1798709.602538704,50.0,40.0,10.000000000000002,89935.4801269352,71948.38410154816,
60,1816696.698564091,50.0,40.0,10.000000000000002,90834.83492820455,72667.86794256364,
61,1834863.6655497318,50.0,40.0,10.000000000000002,91743.18327748659,73394.54662198927,
62,1853212.3022052292,50.0,40.0,10.000000000000002,92660.61511026147,74128.49208820917,
63,1871744.4252272814,50.0,40.0,10.000000000000002,93587.22126136407,74869.77700909125,
64,1890461.8694795542,50.0,40.0,10.000000000000002,94523.09347397771,75618.47477918217,
65,1909366.4881743498,50.0,40.0,10.000000000000002,95468.3244087175,76374.65952697399,
66,1928460.1530560933,50.0,40.0,10.000000000000002,96423.00765280466,77138.40612224373,
67,1947744.7545866542,50.0,40.0,10.000000000000002,97387.23772933272,77909.79018346618,
68,1967222.2021325207,50.0,40.0,10.000000000000002,98361.11010662605,78688.88808530083,
69,1986894.424153846,50.0,40.0,10.000000000000002,99344.7212076923,79475.77696615385,
70,2006763.3683953844,50.0,40.0,10.000000000000002,100338.16841976922,80270.53473581538,
71,2026831.002079338,50.0,40.0,10.000000000000002,101341.5501039669,81073.24008317353,
72,2047099.3121001313,50.0,40.0,10.000000000000002,102354.96560500657,81883.97248400525,
73,2067570.305221133,50.0,40.0,10.000000000000002,103378.51526105666,82702.81220884532,
74,2088246.0082733445,50.0,40.0,10.000000000000002,104412.30041366722,83529.84033093379,
75,2109128.468356078,50.0,40.0,10.000000000000002,105456.4234178039,84365.13873424313,
76,2130219.7530396385,50.0,40.0,10.000000000000002,106510.98765198194,85208.79012158554,
77,2151521.950570035,50.0,40.0,10.000000000000002,107576.09752850175,86060.8780228014,
78,2173037.170075735,50.0,40.0,10.000000000000002,108651.85850378676,86921.4868030294,
79,2194767.5417764927,50.0,40.0,10.000000000000002,109738.37708882464,87790.70167105971,
80,2216715.217194258,50.0,40.0,10.000000000000002,110835.7608597129,88668.6086877703,
81,2238882.3693662006,50.0,40.0,10.000000000000002,111944.11846831004,89555.29477464802,
82,2261271.193059863,50.0,40.0,10.000000000000002,113063.55965299316,90450.84772239452,
83,2283883.9049904617,50.0,40.0,10.000000000000002,114194.1952495231,91355.35619961847,
84,2306722.7440403663,50.0,40.0,10.000000000000002,115336.13720201832,92268.90976161465,
85,2329789.97148077,50.0,40.0,10.000000000000002,116489.4985740385,93191.5988592308,
86,2353087.8711955776,50.0,40.0,10.000000000000002,117654.39355977888,94123.5148478231,
87,2376618.7499075336,50.0,40.0,10.000000000000002,118830.93749537668,95064.74999630135,
88,2400384.9374066093,50.0,40.0,10.000000000000002,120019.24687033048,96015.39749626437,
89,2424388.7867806754,50.0,40.0,10.000000000000002,121219.43933903378,96975.55147122702,
90,2448632.6746484824,50.0,40.0,10.000000000000002,122431.63373242412,97945.3069859393,
91,2473119.001394967,50.0,40.0,10.000000000000002,123655.95006974836,98924.76005579869,
92,2497850.191408917,50.0,40.0,10.000000000000002,124892.50957044585,99914.00765635667,
93,2522828.693323006,50.0,40.0,10.000000000000002,126141.43466615031,100913.14773292025,
94,2548056.980256236,50.0,40.0,10.000000000000002,127402.84901281181,101922.27921024944,
95,2573537.5500587984,50.0,40.0,10.000000000000002,128676.87750293993,102941.50200235193,
96,2599272.9255593866,50.0,40.0,10.000000000000002,129963.64627796934,103970.91702237546,
97,2625265.6548149805,50.0,40.0,10.000000000000002,131263.28274074904,105010.62619259921,
98,2651518.3113631303,50.0,40.0,10.000000000000002,132575.91556815652,106060.73245452522,
99,2678033.4944767617,50.0,40.0,10.000000000000002,133901.67472383808,107121.33977907046,
100,2704813.829421529,50.0,40.0,10.000000000000002,135240.69147107645,108192.55317686117,
101,2731861.9677157444,50.0,40.0,10.000000000000002,136593.09838578722,109274.47870862977,
102,2759180.5873929015,50.0,40.0,10.000000000000002,137959.02936964508,110367.22349571607,
103,2786772.3932668306,50.0,40.0,10.000000000000002,139338.61966334152,111470.89573067322,
104,2814640.1171994987,50.0,40.0,10.000000000000002,140732.00585997495,112585.60468797995,
105,2842786.5183714936,50.0,40.0,10.000000000000002,142139.32591857467,113711.46073485975,
